Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,class
0.0,0.0,0.0,0.0,0.007092198581560284,0.0018781796808141132,0.2,0.25,0.0,0
0.0,0.0,0.0,0.0,0.00425531914893617,0.004377915227401363,0.0,0.333333335,0.0,0
0.0,0.0,0.04166666666666666,0.0601284562474377,0.011347517730496456,0.010307789821130193,0.0,0.07142857,0.0,0
0.0,0.0,0.0,0.0,0.00425531914893617,0.0,1.0,1.0,0.0,0
0.0,0.0,0.0,0.0,0.005673758865248227,0.00032429001684454537,0.5,0.75,0.0,0
0.0,0.0,0.0,0.0,0.021276595744680854,0.0020704373336576654,0.0,0.0625,0.10960122922147386,1
0.14814814814814814,0.012130123139128837,0.0,0.0,0.04964539007092199,0.016282061263175336,0.0,0.027142855,0.0,0
0.5185185185185185,0.1379447055320713,0.0,0.0,0.22127659574468087,0.12584390941948112,0.050049605,0.145373645,0.008271331345381577,0
0.07407407407407407,0.03749310788458004,0.0,0.0,0.02269503546099291,0.011647416437561136,0.0,0.02222222,0.0,0
0.037037037037037035,0.022514243705201248,0.125,0.4933266523937502,0.019858156028368795,0.051666348755125616,0.0,0.05882353000000001,0.0,0
0.0,0.0,0.0,0.0,0.014184397163120569,0.001932228017109295,0.0,0.11111111,0.0,0
0.1851851851851852,0.26631133982723765,0.0,0.0,0.03262411347517731,0.020090538661835192,0.0,0.004132230000000001,0.165820929662382,1
0.0,0.0,0.0,0.0,0.00851063829787234,0.004377915227401363,0.333333335,0.583333335,0.0,0
0.5185185185185185,0.18841410714942106,0.16666666666666666,0.0961144262743133,0.08652482269503546,0.054729142023877936,0.02807541,0.12253661,0.07633754672305927,0
0.3703703703703704,0.027997304418305457,0.0,0.0,0.02411347517730496,0.00935808334322831,0.0,0.12878788,0.0,0
0.0,0.0,0.0,0.0,0.009929078014184398,0.003253516805129556,0.142857145,0.17142857,0.0,0
0.037037037037037035,0.0,0.04166666666666666,0.006301340741584293,0.0921985815602837,0.07352322846700192,0.085074625,0.202703695,0.0,0
0.037037037037037035,0.02756846167983826,0.0,0.0,0.026950354609929082,0.041077700615835405,0.05882353000000001,0.151960785,0.07772021234723966,1
0.0,0.0,0.0,0.0,0.1574468085106383,0.06497470364836724,0.027027025000000003,0.19096369,0.0,0
0.037037037037037035,0.002021687189854806,0.0,0.0,0.03120567375886525,0.007858242015322288,0.0,0.134920635,0.0,0
0.07407407407407407,0.016724866752435213,0.0,0.0,0.03120567375886525,0.012392511357987985,0.0,0.125,0.02667555898586309,1
0.0,0.0,0.0,0.0,0.08936170212765958,0.030580314196249167,0.0,0.00234192,0.0,0
0.3333333333333333,0.029038779636096305,0.04166666666666666,0.07083314353391336,0.07801418439716312,0.04037565134304255,0.0,0.021857925,0.0,0
0.3333333333333333,0.03535624578937695,0.04166666666666666,0.016034254999316717,0.08936170212765958,0.03115817088568897,0.145833335,0.266435185,0.005810008097995075,0
0.0,0.0,0.0,0.0,0.0014184397163120568,0.0,1.0,1.0,0.0,0
0.0,0.0,0.0,0.0,0.08368794326241136,0.030336365919226376,0.08620689499999999,0.15439677,0.0,0
0.4074074074074074,0.1373350487042823,0.375,0.1470414066414613,0.27092198581560284,0.08517843684548444,0.045528455,0.12151969,0.0,0
0.0,0.0,0.0,0.0,0.02269503546099291,0.02270609207227612,0.0,0.2,0.0,0
0.0,0.0,0.0,0.0,0.0014184397163120568,0.0,1.0,1.0,0.0,0
0.037037037037037035,0.028156588862341483,0.08333333333333333,0.010568031704095109,0.06524822695035462,0.10651614450122064,0.021276595,0.234042555,0.0296450181371811,1
