fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sf_diox,tot_sf_diox,density,pH,sulphates,alcohol,class
0.375,0.21621621621621628,0.2409638554216868,0.3282208588957055,0.11572700296735905,0.16027874564459932,0.36511627906976746,0.2677848467322121,0.19090909090909086,0.3255813953488372,0.1157024793388428,0
0.3250000000000001,0.08648648648648649,0.22289156626506024,0.013803680981595092,0.08308605341246293,0.08710801393728224,0.2302325581395349,0.12222864854443928,0.6000000000000001,0.3255813953488372,0.2975206611570249,0
0.4125,0.345945945945946,0.31325301204819284,0.010736196319018405,0.4124629080118695,0.14982578397212545,0.3232558139534884,0.14594177752072213,0.3272727272727276,0.3953488372093023,0.1157024793388428,0
0.4875,0.3675675675675676,0.18674698795180725,0.13190184049079753,0.11572700296735905,0.06968641114982578,0.4906976744186046,0.1887410834779253,0.3090909090909091,0.4534883720930232,0.1983471074380163,0
0.4375,0.0648648648648649,0.2951807228915663,0.007668711656441719,0.08605341246290801,0.09059233449477352,0.2069767441860465,0.10969732022363844,0.4363636363636365,0.5813953488372092,0.4297520661157024,0
0.475,0.054054054054054064,0.20481927710843376,0.1334355828220859,0.1572700296735905,0.13240418118466898,0.26976744186046514,0.18295739348371146,0.44545454545454577,0.1976744186046512,0.2644628099173554,0
0.23750000000000004,0.3027027027027027,0.20481927710843376,0.05521472392638037,0.050445103857566766,0.06620209059233449,0.15581395348837207,0.06921149026412365,0.6272727272727274,0.26744186046511625,0.6446280991735538,0
0.3875000000000001,0.11891891891891893,0.18674698795180725,0.2860429447852761,0.10089020771513353,0.1254355400696864,0.36511627906976746,0.2396375554270307,0.19090909090909086,0.3488372093023256,0.18181818181818168,1
0.4125,0.12972972972972974,0.20481927710843376,0.2361963190184049,0.12166172106824925,0.17073170731707318,0.3627906976744186,0.21958743011374796,0.44545454545454577,0.44186046511627897,0.1983471074380163,0
0.4125,0.1837837837837838,0.18072289156626506,0.02760736196319018,0.09792284866468842,0.08013937282229966,0.26046511627906976,0.13283208020050452,0.645454545454546,0.4534883720930232,0.4132231404958677,0
0.3625,0.33513513513513515,0.14457831325301204,0.032208588957055216,0.023738872403560828,0.06968641114982578,0.16279069767441862,0.07191054559475417,0.2818181818181817,0.17441860465116274,0.5785123966942147,0
0.3875000000000001,0.17297297297297298,0.2409638554216868,0.22699386503067484,0.12759643916913946,0.27526132404181186,0.4372093023255814,0.22151532677848704,0.4363636363636365,0.5465116279069766,0.2314049586776861,0
0.3875000000000001,0.10810810810810813,0.21686746987951808,0.010736196319018405,0.08011869436201781,0.13240418118466898,0.2488372093023256,0.1212647002120697,0.5,0.8488372093023253,0.2479338842975207,1
0.275,0.20540540540540544,0.09036144578313253,0.013803680981595092,0.13946587537091984,0.11498257839721256,0.2744186046511628,0.12512049354154794,0.36363636363636376,0.26744186046511625,0.1322314049586777,0
0.225,0.21621621621621628,0.2409638554216868,0.08435582822085888,0.07418397626112759,0.11846689895470384,0.25116279069767444,0.083477925583189,0.44545454545454577,0.2441860465116279,0.6776859504132229,1
0.4500000000000001,0.12972972972972974,0.22289156626506024,0.25076687116564417,0.11572700296735905,0.14285714285714285,0.4186046511627907,0.2388663967611357,0.2818181818181817,0.2325581395348837,0.1983471074380163,0
0.3625,0.17297297297297298,0.2349397590361446,0.035276073619631906,0.4866468842729971,0.21254355400696864,0.3418604651162791,0.1270483902062871,0.3454545454545457,0.13953488372093026,0.2314049586776861,0
